DASH	NUM_PES 4	Max_Key 268435456	Num_Iters 1	Weak Scaling: 30000000 keys per PE	Round Robin GlobBucketSeq	
TOTAL (sec)	ATA_KEYS (sec)	MAKE_INPUT (sec)	COUNT_BUCKET_SIZES (sec)	BUCKETIZE (sec)	LOCAL_SORT (sec)	ALLOC_BUCKET_SIZE (sec)	ALLOC_BUCKET (sec)	
4.935178	0.131654	0.434867	0.339339	0.432021	3.418387	0.000010	0.000136	
4.935190	0.131216	0.405509	0.312041	0.431987	3.392060	0.000025	0.000225	
4.935173	0.131295	0.402443	0.349642	0.432021	3.142169	0.000096	0.000147	
4.935179	0.131031	0.445628	0.316552	0.432014	3.462276	0.000026	0.000147	
3.514571	0.138052	0.414308	0.346069	0.448537	1.999230	0.000011	0.000019	
3.514566	0.138032	0.387622	0.342234	0.448583	1.941971	0.000153	0.000195	
3.514576	0.137995	0.396662	0.339517	0.448769	1.892204	0.000156	0.000156	
3.514569	0.138055	0.409503	0.332416	0.448585	1.876829	0.000153	0.000157	
3.951464	0.112532	0.458299	0.388776	0.467227	2.331649	0.000009	0.000131	
3.951461	0.117589	0.396322	0.343577	0.467225	2.132584	0.000028	0.000190	
3.951468	0.117210	0.412004	0.391439	0.467236	2.250075	0.000029	0.000142	
3.951464	0.117997	0.410497	0.338912	0.467228	2.172316	0.000165	0.000144	
5.016530	0.112522	0.456039	0.346324	0.452841	3.380570	0.000017	0.000017	
5.016512	0.111669	0.455379	0.322134	0.452714	3.456019	0.000307	0.000206	
5.016510	0.112135	0.428305	0.321772	0.452848	3.507424	0.000050	0.000034	
5.016502	0.112194	0.411986	0.320611	0.452726	3.178426	0.000307	0.000171	
